date,averaging_period_end,averaging_period_days,actual_balances,required_reserves_avg,accounting_reserves,full_reserves,spread,spread_relative,spread_delta,spread_ma3,reserve_load,ruonia_rate,ruonia_period_avg,ruonia_start,flag_end_of_period,spread_mad_score,spread_relative_mad_score,spread_delta_mad_score,reserve_load_mad_score,ruonia_mad_score,m1_signal,m1_signal_final,m1_reliable
09-06-2016,06-07-2016,28,1569.771428571429,1443.0,391.5,1834.5,126.77142857142894,8.785268785268812,15.26428571428687,124.33000000000008,116.86414764660913,10.76,10.311052631578947,10.76,0,-1.8517260304044516,-1.4604905614062036,0.7701804656637569,-1.0884076081283536,-0.08098658223624151,-0.9179463267026059,-0.9179463267026059,1
07-07-2016,03-08-2016,28,1576.6392857142862,1442.6,391.4,1834.0,134.03928571428628,9.291507397357984,7.267857142857338,124.10595238095243,116.32337317848314,10.27,10.301,10.27,0,-1.4026150200691936,-1.4075673060255385,0.2589037568012509,-1.1717191890558853,-0.08555836542451921,-0.8253611113665444,-0.8253611113665444,1
04-08-2016,07-09-2016,35,1628.0885714285716,1525.5,413.8,1939.3,102.58857142857164,6.724914547923411,-31.45071428571464,121.13309523809562,119.11514115588655,10.33,10.3036,10.33,0,-2.6482499726575495,-1.7618267184906267,-2.34154711660639,-0.7997017003114886,-0.08495765884066801,-1.7398156522539248,-1.7398156522539248,1
08-09-2016,05-10-2016,28,1884.5,1760.0,477.6,2237.6,124.5,7.073863636363637,21.91142857142836,120.37595238095264,118.73706553462455,10.25,10.2135,10.25,0,-1.4287786969829912,-1.381630170192978,1.2424082278141981,-0.7895349899505133,-0.14376615267491652,-0.6950603904888908,-0.6950603904888908,1
06-10-2016,09-11-2016,35,1867.9,1761.4,476.7,2238.1,106.5,6.046326785511525,-18.0,111.19619047619055,119.81904812891482,10.27,10.178749999999999,10.27,0,-2.084301301165613,-1.568143263443975,-1.2859743199211602,-0.3726497268625271,-0.21233262148840606,-1.3675205746292338,-1.3675205746292338,1
10-11-2016,07-12-2016,28,1852.2,1746.7,475.2,2221.9,105.5,6.03996106944524,-1.0,112.16666666666667,119.96004751106793,10.05,10.131499999999997,10.05,0,-1.8459892176697852,-1.5101679990906531,-0.2193207435211116,-0.1400889821434339,-0.32276549236802243,-1.1372277105772604,-1.1372277105772604,1
08-12-2016,11-01-2017,35,1978.8,1765.6,481.9,2247.5,213.20000000000005,12.075215224286366,107.70000000000005,141.73333333333335,113.5789367293309,10.19,10.168421052631578,10.19,0,2.5526218321210257,-0.1904513930723329,5,-1.4388712471186111,-0.38625692102644515,1.4992405627176644,1.4992405627176644,1
11-01-2017,07-02-2017,28,1858.2,1743.3,478.2,2221.5,114.90000000000009,6.590948201686462,-98.29999999999995,144.5333333333334,119.55117855989667,9.97,10.101500000000001,9.97,0,-1.4772292578897799,-1.2539986055485484,-5,-0.22726203913142598,-0.5004425273288242,-1.7056405234807661,-1.7056405234807661,1
08-02-2017,07-03-2017,28,1989.4,1874.4,514.6,2389.0,115.0,6.135296628254375,0.09999999999990905,147.70000000000005,120.08645822861163,10.24,10.093333333333335,10.24,0,-1.2997195434269297,-1.2707551537314634,-0.1806289525916947,0.013632779830381456,-0.5670133620265073,-0.9414383120276723,-0.9414383120276723,1
08-03-2017,11-04-2017,35,1971.0,1865.1,507.5,2372.6,105.90000000000009,5.6779797329901935,-9.099999999999909,111.9333333333334,120.37544393708777,,9.789166666666667,9.53,0,-1.4838829129878013,-1.3809883190558807,-0.7739896891872438,0.07596418043207159,-1.037361784764396,-1.240044998878886,-1.240044998878886,1
